id,true_label,retrieved_label,retrieved_label_correct,retrieved_id,similarity,retrieved_is_aug
test_00000,Anxiety,Anxiety,True,train_00038,0.5284314155578613,False
test_00001,Bipolar,Depression,False,train_03362,0.6366847157478333,False
test_00002,Normal,Normal,True,train_01561,0.41841787099838257,False
test_00003,Bipolar,Bipolar,True,train_00433,0.7248333096504211,False
test_00004,Depression,Depression,True,train_02115,0.7261755466461182,False
test_00005,Normal,Normal,True,train_04461,0.3562491536140442,False
test_00006,Depression,Bipolar,False,train_05582,0.6920267939567566,False
test_00007,Depression,Depression,True,train_01094,0.6863789558410645,False
test_00008,Anxiety,Anxiety,True,train_03635,0.6000394821166992,False
test_00009,Bipolar,Bipolar,True,train_01569,0.6900047659873962,False
test_00010,Bipolar,Bipolar,True,train_04920,0.676047682762146,False
test_00011,Depression,Depression,True,train_04828,0.6962618827819824,False
test_00012,Bipolar,Bipolar,True,train_04781,0.7094899415969849,False
test_00013,Anxiety,Anxiety,True,train_04745,0.6482511758804321,False
test_00014,Anxiety,Anxiety,True,train_03500,0.7485607266426086,False
test_00015,Depression,Depression,True,train_05823,0.6787790656089783,False
test_00016,Bipolar,Depression,False,train_04936,0.6483395099639893,False
test_00017,Depression,Depression,True,train_00058,0.7581396102905273,False
test_00018,Bipolar,Bipolar,True,train_00659,0.7741943001747131,False
test_00019,Bipolar,Bipolar,True,train_03527,0.7342213988304138,False
test_00020,Normal,Normal,True,train_04441,0.5759344696998596,False
test_00021,Normal,Normal,True,train_00300,0.6712049841880798,False
test_00022,Anxiety,Anxiety,True,train_05266,0.6170207262039185,False
test_00023,Normal,Depression,False,train_05777,0.41329389810562134,False
test_00024,Bipolar,Bipolar,True,train_05940,0.7981334328651428,False
test_00025,Depression,Depression,True,train_01659,0.45252907276153564,False
test_00026,Depression,Depression,True,train_01734,0.5889413356781006,False
test_00027,Depression,Depression,True,train_05459,0.6643259525299072,False
test_00028,Bipolar,Bipolar,True,train_03543,0.7379622459411621,False
test_00029,Normal,Normal,True,train_01344,0.30691975355148315,False
test_00030,Depression,Depression,True,train_04437,0.659224271774292,False
test_00031,Bipolar,Bipolar,True,train_04890,0.700438380241394,False
test_00032,Bipolar,Bipolar,True,train_01931,0.5730838775634766,False
test_00033,Normal,Normal,True,train_01561,0.40554559230804443,False
test_00034,Anxiety,Anxiety,True,train_02915,0.7616650462150574,False
test_00035,Anxiety,Anxiety,True,train_04986,0.5887623429298401,False
test_00036,Depression,Depression,True,train_05274,0.6176753640174866,False
test_00037,Depression,Depression,True,train_02432,0.5451533198356628,False
